LATITUDE,LONGITUDE,ID,Mun,CodIBGE,Populacao,Delitos Relacionados à Armas e Munições,Delitos relacionados à Corrupção,Estelionato,Extorsão,Extorsão Mediante Sequestro,Furto,Furto de Veículos,Homicídio Doloso,Latrocínio,Posse de Entorpecentes,Roubo,Roubo de Veículos,Tráfico de Entorpecentes,
-27.920467,-53.039067,39, Barra Funda, 4301958, 2677, 0, 0, 0, 0, 0, 10, 0, , 0, 0, 3, 0, 0
-27.673862,-51.45855,40, Barracão, 4301800, 5124, 8, 0, 4, 0, 0, 59, 3, , 0, 2, 6, 0, 1
-29.094686,-52.583571,41, Barros Cassal, 4302006, 10681, 7, 0, 11, 1, 0, 77, 3, , 0, 1, 7, 1, 8
-27.508565,-52.599504,42, Benjamin Constant do Sul, 4302055, 2359, 1, 0, 0, 0, 0, 12, 0, , 0, 0, 2, 1, 0
-29.166212,-51.516476,43, Bento Gonçalves, 4302105, 117984, 69, 14, 230, 6, 0, 1810, 393, , 1, 91, 639, 95, 83
-27.667123,-53.310168,44, Boa Vista das Missões, 4302154, 2157, 0, 0, 0, 0, 0, 11, 1, , 0, 0, 7, 1, 1
-27.66928,-54.108229,45, Boa Vista do Buricá, 4302204, 6850, 1, 0, 0, 0, 0, 27, 1, , 0, 1, 0, 0, 0
-28.579055,-53.810821,46, Boa Vista do Cadeado, 4302220, 2451, 0, 0, 1, 0, 0, 40, 0, , 0, 0, 1, 0, 0
-28.818456,-53.391034,47, Boa Vista do Incra, 4302238, 2317, 2, 0, 2, 0, 0, 30, 0, , 0, 1, 1, 0, 0
-29.354406,-51.668725,48, Boa Vista do Sul, 4302253, 3045, 0, 0, 0, 0, 0, 22, 2, , 1, 0, 4, 5, 0
-28.669703,-50.429453,49, Bom Jesus, 4302303, 11430, 9, 0, 8, 0, 0, 135, 7, , 0, 14, 21, 2, 16
-29.485634,-51.354763,50, Bom Princípio, 4302352, 13268, 2, 0, 15, 0, 0, 132, 9, , 0, 16, 14, 6, 3
-27.539856,-53.871608,51, Bom Progresso, 4302378, 2333, 3, 0, 0, 0, 0, 15, 1, , 0, 0, 1, 0, 0
-29.607076,-51.945593,52, Bom Retiro do Sul, 4302402, 12548, 6, 0, 2, 0, 0, 144, 2, , 0, 33, 45, 9, 7
