LATITUDE,LONGITUDE,LOG1,LOG2,TIPO_ACID,QUEDA_ARR,DATA_HORA,DIA_SEM,FERIDOS,FERIDOS_GR,MORTES,MORTE_POST,FATAIS,AUTO,TAXI,LOTACAO,ONIBUS_URB,ONIBUS_MET,ONIBUS_INT,CAMINHAO,MOTO,CARROCA,BICICLETA,OUTRO,TEMPO,NOITE_DIA,REGIAO,DIA,MES,ANO,FX_HORA,UPS
-30.031482,-51.227723,R RIACHUELO,AV BORGES DE MEDEIROS,COLISAO,0,2011-01-01T03:25:00,SABADO,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,CENTRO,1,1,2011,3,1
-30.040218,-51.195864,R VICENTE DA FONTOURA,AV PROTASIO ALVES,COLISAO,0,2011-01-01T03:30:00,SABADO,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,LESTE,1,1,2011,3,1
-30.063902,-51.178508,AV ROCIO,,ABALROAMENTO,0,2011-01-01T03:40:00,SABADO,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,BOM,NOITE,LESTE,1,1,2011,3,13
-30.108689,-51.241849,R DR PEREIRA NETO,,ABALROAMENTO,0,2011-01-01T04:35:00,SABADO,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,NOITE,SUL,1,1,2011,4,5
-30.027903,-51.181527,AV CARLOS GOMES,,ABALROAMENTO,0,2011-01-01T04:45:00,SABADO,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,BOM,NOITE,LESTE,1,1,2011,4,5
-30.061519,-51.169636,AV BENTO GONCALVES,R PROF CRISTIANO FISCHER,ABALROAMENTO,0,2011-01-01T06:00:00,SABADO,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,NOITE,LESTE,1,1,2011,6,5
-30.007751,-51.095065,AV MAURICIO SELIGMAN,,CHOQUE,0,2011-01-01T07:15:00,SABADO,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,DIA,NORTE,1,1,2011,7,5
-30.043399,-51.214592,R DR SEBASTIAO LEAO,AV JOAO PESSOA,ABALROAMENTO,0,2011-01-01T08:00:00,SABADO,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,CENTRO,1,1,2011,8,5
-29.977428,-51.195991,R FREDERICO MENTZ,,QUEDA,0,2011-01-01T08:25:00,SABADO,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,DIA,NORTE,1,1,2011,8,5
-29.984293,-51.111866,R SENHOR DO BOM FIM,AV BERNARDINO SILVEIRA DE AMORIM,ABALROAMENTO,0,2011-01-01T10:10:00,SABADO,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,NORTE,1,1,2011,10,1
